ID	SRA_ID	Mouse	Sample Type	DonorID	Species	Timepoint	Sex	Cage	CageAZ	Experiment	IndividualRxn	Reads_230215	SeqFilter	In vivo Analysis	Cdiffstrain	CFU	Toxin	LogCFU
S262	262	3	Mouse stool	Donor 24	Mouse	14	F	15	C15	Expt3	Expt3_Donor 24_3	6042341	Keep	Keep	ST2			
S263	263	4	Mouse stool	Donor 24	Mouse	14	F	15	C15	Expt3	Expt3_Donor 24_4	10537457	Keep	Keep	ST2			
S268	268	1	Mouse stool	Donor 10	Mouse	28	M	1	C1	Expt3	Expt3_Donor 10_1	4957271	Keep		ST42			
S269	269	2	Mouse stool	Donor 10	Mouse	28	M	1	C1	Expt3	Expt3_Donor 10_2	6927510	Keep		ST42			
S270	270	3	Mouse stool	Donor 10	Mouse	28	F	2	C2	Expt3	Expt3_Donor 10_3	7736897	Keep		ST42			
S271	271	4	Mouse stool	Donor 10	Mouse	28	F	2	C2	Expt3	Expt3_Donor 10_4	6267362	Keep		ST42			
S272	272	1	Mouse stool	Donor 13	Mouse	28	M	3	C3	Expt3	Expt3_Donor 13_1	6431640	Keep		ST42			
S273	273	2	Mouse stool	Donor 13	Mouse	28	M	3	C3	Expt3	Expt3_Donor 13_2	5854669	Keep		ST42			
S274	274	3	Mouse stool	Donor 13	Mouse	28	F	4	C4	Expt3	Expt3_Donor 13_3	5533705	Keep		ST42			
S275	275	1	Mouse stool	Donor 14	Mouse	28	M	5	C5	Expt3	Expt3_Donor 14_1	7247380	Keep	Keep	ST42			
S300	300	2	Mouse stool	Donor 14	Mouse	28	M	5	C5	Expt3	Expt3_Donor 14_2	5066388	Keep	Keep	ST42			
S301	301	3	Mouse stool	Donor 14	Mouse	28	F	6	C6	Expt3	Expt3_Donor 14_3	5445790	Keep	Keep	ST42			
S302	302	4	Mouse stool	Donor 14	Mouse	28	F	6	C6	Expt3	Expt3_Donor 14_4	6607850	Keep	Keep	ST42			
S303	303	1	Mouse stool	Donor 15	Mouse	28	M	7	C7	Expt3	Expt3_Donor 15_1	8516301	Keep	Keep	ST2			
S304	304	2	Mouse stool	Donor 15	Mouse	28	M	7	C7	Expt3	Expt3_Donor 15_2	5469254	Keep	Keep	ST2			
S305	305	3	Mouse stool	Donor 15	Mouse	28	F	8	C8	Expt3	Expt3_Donor 15_3	6277556	Keep	Keep	ST2			
S306	306	4	Mouse stool	Donor 15	Mouse	28	F	8	C8	Expt3	Expt3_Donor 15_4	6694272	Keep	Keep	ST2			
S307	307	1	Mouse stool	Donor 16	Mouse	28	M	10	C10	Expt3	Expt3_Donor 16_1	5387943	Keep	Keep	ST2			
S308	308	2	Mouse stool	Donor 16	Mouse	28	M	10	C10	Expt3	Expt3_Donor 16_2	5164277	Keep	Keep	ST2			
S309	309	3	Mouse stool	Donor 16	Mouse	28	F	9	C9	Expt3	Expt3_Donor 16_3	6401416	Keep	Keep	ST2			
S310	310	4	Mouse stool	Donor 16	Mouse	28	F	9	C9	Expt3	Expt3_Donor 16_4	4868814	Keep	Keep	ST2			
S311	311	1	Mouse stool	HV	Mouse	28	M		C	Expt3	Expt3_HV_1	2913657	Keep	Discard				
S312	312	2	Mouse stool	HV	Mouse	28	M		C	Expt3	Expt3_HV_2	5884258	Keep	Discard				
S313	313	3	Mouse stool	HV	Mouse	28	F		C	Expt3	Expt3_HV_3	4793296	Keep	Discard				
S314	314	4	Mouse stool	HV	Mouse	28	F		C	Expt3	Expt3_HV_4	5206163	Keep	Discard				
S315	315	3	Mouse stool	Donor 22	Mouse	28	F	11	C11	Expt3	Expt3_Donor 22_3	5778161	Keep		ST42			
S316	316	4	Mouse stool	Donor 22	Mouse	28	F	11	C11	Expt3	Expt3_Donor 22_4	5203825	Keep		ST42			
S321	321	1	Mouse stool	Donor 24	Mouse	28	M	14	C14	Expt3	Expt3_Donor 24_1	5253772	Keep		ST2			
S322	322	2	Mouse stool	Donor 24	Mouse	28	M	14	C14	Expt3	Expt3_Donor 24_2	8004529	Keep		ST2			
S323	323	3	Mouse stool	Donor 24	Mouse	28	F	15	C15	Expt3	Expt3_Donor 24_3	8330772	Keep		ST2			
CDFMT_18	 CDFMT_18	1	Mouse stool	Donor 6	Mouse	5	F	23	C23	Expt1	Expt1_Donor 6_1	5111722	Keep	Keep	Donor6strain			
CDFMT_19	 CDFMT_19	2	Mouse stool	Donor 6	Mouse	5	F	23	C23	Expt1	Expt1_Donor 6_2	5110673	Keep	Keep	Donor6strain			
CDFMT_21	 CDFMT_21	4	Mouse stool	Donor 6	Mouse	5	F	23	C23	Expt1	Expt1_Donor 6_4	4569939	Keep	Keep	Donor6strain			
CDFMT_22	 CDFMT_22	3	Mouse stool	Donor 8	Mouse	5	F	25	C25	Expt1	Expt1_Donor 8_3	11760029	Keep	Keep				
CDFMT_40	 CDFMT_40	1	Mouse stool	Donor 1	Mouse	21	F	18	C18	Expt1	Expt1_Donor 1_1	5467778	Keep	Keep	Donor1strain			
S100	 DLAP-100	4	Mouse stool	Donor 10	Mouse	4	F	2	C2	Expt3	Expt3_Donor 10_4	3901109	Keep	Keep	ST42			
220509_CDFMT-102	 DLAP-220509_CDFMT-102	3	Mouse stool	HV	Mouse	7	M		C	Expt2	Expt2_HV_3	3278953	Keep	Discard				
220509_CDFMT-104	 DLAP-220509_CDFMT-104	1	Mouse stool	HV	Mouse	7	F		C	Expt2	Expt2_HV_1	5026566	Keep	Discard				
220509_CDFMT-35	 DLAP-220509_CDFMT-35	1	Mouse stool	Donor 1	Mouse	14	M	27	C27	Expt2	Expt2_Donor 1_1	2438531	Keep	Keep	Donor1strain			
220509_CDFMT-36	 DLAP-220509_CDFMT-36	2	Mouse stool	Donor 1	Mouse	14	M	27	C27	Expt2	Expt2_Donor 1_2	4645073	Keep	Keep	Donor1strain			
220509_CDFMT-37	 DLAP-220509_CDFMT-37	3	Mouse stool	Donor 1	Mouse	14	F	26	C26	Expt2	Expt2_Donor 1_3	2844433	Keep	Keep	Donor1strain			
220509_CDFMT-38	 DLAP-220509_CDFMT-38	4	Mouse stool	Donor 1	Mouse	14	F	26	C26	Expt2	Expt2_Donor 1_4	11904004	Keep	Keep	Donor1strain			
220509_CDFMT-39	 DLAP-220509_CDFMT-39	1	Mouse stool	Donor 2	Mouse	14	M	28	C28	Expt2	Expt2_Donor 2_1	8057932	Keep	Keep	Donor2strain			
220509_CDFMT-40	 DLAP-220509_CDFMT-40	2	Mouse stool	Donor 2	Mouse	14	M	28	C28	Expt2	Expt2_Donor 2_2	2257350	Keep	Keep	Donor2strain			
220509_CDFMT-41	 DLAP-220509_CDFMT-41	3	Mouse stool	Donor 2	Mouse	14	F	29	C29	Expt2	Expt2_Donor 2_3	2695868	Keep	Keep	Donor2strain			
220509_CDFMT-42	 DLAP-220509_CDFMT-42	4	Mouse stool	Donor 2	Mouse	14	F	29	C29	Expt2	Expt2_Donor 2_4	20468487	Keep	Keep	Donor2strain			
220509_CDFMT-44	 DLAP-220509_CDFMT-44	2	Mouse stool	Donor 3	Mouse	14	M	30	C30	Expt2	Expt2_Donor 3_2	11240455	Keep	Keep	Donor3strain			
220509_CDFMT-45	 DLAP-220509_CDFMT-45	2	Mouse stool	Donor 4	Mouse	14	M	32	C32	Expt2	Expt2_Donor 4_2	8951166	Keep	Keep	ST2			
220509_CDFMT-46	 DLAP-220509_CDFMT-46	3	Mouse stool	Donor 4	Mouse	14	F	33	C33	Expt2	Expt2_Donor 4_3	2579905	Keep	Keep	ST2			
220509_CDFMT-47	 DLAP-220509_CDFMT-47	4	Mouse stool	Donor 4	Mouse	14	F	33	C33	Expt2	Expt2_Donor 4_4	2516720	Keep	Keep	ST2			
220509_CDFMT-49	 DLAP-220509_CDFMT-49	2	Mouse stool	Donor 6	Mouse	14	M	36	C36	Expt2	Expt2_Donor 6_2	3108876	Keep	Keep	Donor6strain			
220509_CDFMT-50	 DLAP-220509_CDFMT-50	3	Mouse stool	Donor 6	Mouse	14	F	37	C37	Expt2	Expt2_Donor 6_3	3781264	Keep	Keep	Donor6strain			
220509_CDFMT-51	 DLAP-220509_CDFMT-51	4	Mouse stool	Donor 6	Mouse	14	F	37	C37	Expt2	Expt2_Donor 6_4	4699560	Keep	Keep	Donor6strain			
220509_CDFMT-54	 DLAP-220509_CDFMT-54	1	Mouse stool	HV	Mouse	14	M		C	Expt2	Expt2_HV_1	8793148	Keep	Discard				
220509_CDFMT-55	 DLAP-220509_CDFMT-55	2	Mouse stool	HV	Mouse	14	M		C	Expt2	Expt2_HV_2	2088025	Keep	Discard				
220509_CDFMT-56	 DLAP-220509_CDFMT-56	3	Mouse stool	HV	Mouse	14	F		C	Expt2	Expt2_HV_3	7984595	Keep	Discard				
220509_CDFMT-57	 DLAP-220509_CDFMT-57	4	Mouse stool	HV	Mouse	14	F		C	Expt2	Expt2_HV_4	2265730	Keep	Discard				
220509_CDFMT-66	 DLAP-220509_CDFMT-66	1	Mouse stool	Donor 3	Mouse	4	M	30	C30	Expt2	Expt2_Donor 3_1	2257138	Keep	Keep	Donor3strain			
220509_CDFMT-73	 DLAP-220509_CDFMT-73	4	Mouse stool	Donor 6	Mouse	4	F	37	C37	Expt2	Expt2_Donor 6_4	7083525	Keep	Keep	Donor6strain			
220509_CDFMT-74	 DLAP-220509_CDFMT-74	1	Mouse stool	HV	Mouse	4	M		C	Expt2	Expt2_HV_1	14343168	Keep	Discard				
220509_CDFMT-75	 DLAP-220509_CDFMT-75	2	Mouse stool	HV	Mouse	4	M		C	Expt2	Expt2_HV_2	7338806	Keep	Discard				
220509_CDFMT-76	 DLAP-220509_CDFMT-76	3	Mouse stool	HV	Mouse	4	F		C	Expt2	Expt2_HV_3	4239539	Keep	Discard				
220509_CDFMT-77	 DLAP-220509_CDFMT-77	4	Mouse stool	HV	Mouse	4	F		C	Expt2	Expt2_HV_4	2286695	Keep	Discard				
220509_CDFMT-87	 DLAP-220509_CDFMT-87	4	Mouse stool	Donor 1	Mouse	7	F	26	C26	Expt2	Expt2_Donor 1_4	2472065	Keep	Keep	Donor1strain			
220509_CDFMT-88	 DLAP-220509_CDFMT-88	1	Mouse stool	Donor 2	Mouse	7	M	28	C28	Expt2	Expt2_Donor 2_1	2216126	Keep	Keep	Donor2strain			
220509_CDFMT-89	 DLAP-220509_CDFMT-89	2	Mouse stool	Donor 2	Mouse	7	M	28	C28	Expt2	Expt2_Donor 2_2	3376624	Keep	Keep	Donor2strain			
220509_CDFMT-90	 DLAP-220509_CDFMT-90	3	Mouse stool	Donor 2	Mouse	7	F	29	C29	Expt2	Expt2_Donor 2_3	2755574	Keep	Keep	Donor2strain			
220509_CDFMT-91	 DLAP-220509_CDFMT-91	4	Mouse stool	Donor 2	Mouse	7	F	29	C29	Expt2	Expt2_Donor 2_4	4120477	Keep	Keep	Donor2strain			
220509_CDFMT-92	 DLAP-220509_CDFMT-92	1	Mouse stool	Donor 3	Mouse	7	M	30	C30	Expt2	Expt2_Donor 3_1	6349619	Keep	Keep	Donor3strain			
220509_CDFMT-93	 DLAP-220509_CDFMT-93	2	Mouse stool	Donor 3	Mouse	7	M	30	C30	Expt2	Expt2_Donor 3_2	2248330	Keep	Keep	Donor3strain			
220509_CDFMT-94	 DLAP-220509_CDFMT-94	1	Mouse stool	Donor 4	Mouse	7	M	32	C32	Expt2	Expt2_Donor 4_1	3470536	Keep	Keep	ST2			
220509_CDFMT-95	 DLAP-220509_CDFMT-95	2	Mouse stool	Donor 4	Mouse	7	M	32	C32	Expt2	Expt2_Donor 4_2	2748807	Keep	Keep	ST2			
220509_CDFMT-96	 DLAP-220509_CDFMT-96	3	Mouse stool	Donor 4	Mouse	7	F	33	C33	Expt2	Expt2_Donor 4_3	3329427	Keep	Keep	ST2			
NextSeq1_1-17	 NextSeq1_1-17	4	Mouse stool	Donor 6	Mouse	21	F	23	C23	Expt1	Expt1_Donor 6_4	4346521	Keep	Keep	Donor6strain			
CDFMT_20	CDFMT_20	3	Mouse stool	Donor 6	Mouse	5	F	23	C23	Expt1	Expt1_Donor 6_3	5276361	Keep	Keep	Donor6strain			
